Acronym;Description
DVIVZMXS;DVIVZMX with fast, reversible switch off in case of exceed
DVIVZTMX;Maximum delta between actual and target speed for tip permission
DVLLVO;Delta speed to reset idle-speed disable from the FGR
DVLLVU;Delta speed to set idle-speed disable from the FGR
DVNG;LLR: D-gain depending of ngfil for vehicle at rest
DVNGKH;LLR: D-gain depending of ngfil for vehicle at rest (katheating)
DVNGSV;LLR: D-gain depending of ngfil for vehicle rolling at stratified mode
DVNGV;LLR: D-gain depending of ngfil for vehicle rolling
DVRAMPMX;Maximum speed difference for raising the CC-control speed value
DVSA;Delta vehicle speed for cut off engine speed increase
DVSAVO;Delta velocity to set prohibited trailing throttle fuel cutoff
DVSAVU;Delta velocity to remove prohibited trailing throttle fuel cutoff
DVSWKB;Max. permitted changing of target speed after acceleration
DVSWKV;Max. permitted changing of target speed after deceleration
DVTIPUD;Changing actual speed at tip-up or tip-down
DVZVIMX;Max. permitted deviation between target speed and actual speed in cruising mode
DVZVITMX;Maximum delta between target and actual speed for tip permission
DVZVIWA;Delta between target and actual speed for transition cruising to resuming
DWBHO1DYN;Dynamics reserve angle begin 1st intake stroke-ES in injection type ho1
DWCLUTCHCC;Hysteresis for clutch pedal top of travel achieved
DWCLUTCHST;Hysteresis for clutch pedal bottom of travel achieved
DWDK12O;Max. permissible difference between throttle-valve angles from pot's 1 and 2
DWDK13O;Max. permissible difference between throttle-valve angles from pot's 1 and 3
DWDK23O;Max. permissible difference between throttle-valve angles from pot's 2 and 3
DWDKBAMMX;Maximum toelrance of the throttle valve for mass flow through throttle valve
DWDKEB;DVE Control deviation for ice check
DWDKNMOMIN;RPM threshold for position control during start
DWDKSBAMX;Max. setpoint/actual DK angle deviation as f(dwdks)
DWDKSIKLS;Threshold for the activation of the I small component
DWDKSTART;Change of threshold position control during start at cold temperatures
DWDKTMIN;Temperature threshold for position control during start
DWDKUGD;Delta to DK angle unthrottled (tolerance)
DWEHO1DYN;Dynamics reserve angle end 1st intake stroke-ES in injection type ho1
DWFWNWA;Delta angle for band at desired outlet camshaft position
DWFWNWE;Delta angle for band at desired inlet camshaft position
DWGVOA;Offset: gas exch. valve exhaust opens 1mm -> 0.5mm stroke
DWGVOE;Offset for intake valve angle at definition change 1mm -> 0.5mm stroke
DWMSVMN;Limit angle for minimum delivery rate
DWMSVMX;Limit angle for maximum delivery rate
DWMSVOMX;Maximal angle end of control MSV (opening)
DWNSRFIX;Min. dev. CmS pos. f. max. charge f. enabl. thr.vlv. resid.travel
DWNSRFIXA;Min. dev. CmS pos. f. max. charge f. enabl. thr.vlv. resid.travel
DWNVPSTA;Deviation of locking position outlet camshaft for error entry
DWNVPSTE;Deviation of locking position inlet camshaft for error entry
DWNWADMNA;Min. perm. deviation of exhaust camshaft to reference pos. of fine adaptation
DWNWADMNE;Min. perm. deviation of intake camshaft to reference pos. of fine adaptation
DWNWADMXA;Max. perm. deviation of exhaust camshaft to reference pos. of fine adaptation
DWNWADMXE;Max. perm. deviation of intake camshaft to reference pos. of fine adaptation
DWNWAMAX;Max. permissible difference of desired & active value for response compensation
DWNWASIMN;Minimum value of dwnwa_w for input of fast i-part of cam controller
DWNWASIMX;Maximum value of dwnwa_w for input of fast i-part of cam controller
DWNWATERR;Delta angle for area defintion allocation TargetError (outlet)
DWNWDATMN;Lower threshold of difference controller part outlet
DWNWDATMX;Upper threshold of difference controller part outlet
DWNWDETMN;Lower threshold of difference controller part
DWNWDETMX;Upper threshold of difference controller part
DWNWEMAX;Max. permissible difference of desired & active value for response compensation
DWNWESIMN;Minimum value of dwnwe_w for input of fast i-part of cam controller
DWNWESIMX;Maximum value of dwnwe_w for input of fast i-part of cam controller
DWNWESTPA;Angular deviation of intake camshaft for adjustment stop outlet camshaft
DWNWSAVPA;Min. dist. f. des. angle exh. CmS to leave lock pos.
DWNWSAVPE;Min. dist. f. des. angle intk. CmS to leave lock pos.
DWNWSBGLA;Threshold: sw.over to time constant f. des.val.change limit. exhaust
DWNWSBGLE;Threshold: sw.over to time constant f. des.val.change limit. intake
DWNWSHOEN;Cam angle deviation for operation mode high overlap
DWNWSKA;Difference of desired camshaft position to stop adaption of phase sensor exhaust
DWNWSKE;Difference of desired camshaft position to stop adaption of phase sensor inlet
DWNWSNNMOT;Threshold Delta Intake Cam Position (negative)
DWNWSPN;Threshold min Delta Intake Cam in reverse direction
DWNWSPNMOT;Threshold Delta Intake Cam Position (positive)
DWNWSVAS;Delta-desired angle outlet valve closed in locking position relative to TDC
DWNWSVEO;Delta-desired angle inlet valve opened in locking position relative to TDC
DWNWTERR;Delta angle for area defintion allocation TargetError
DWNWVPA;Angle range: long hole of lock position (exhaust camshaft)
DWNWVPE;Angle range: long hole of lock position (intake camshaft)
DWOGVA;Open angle: gas exch. vlv. exhaust closes to exhaust opens
DWOGVE;Open angle: gas exch. vlv. intake closes to intake opens
DWOTZ1OTP;Differential angle between OT-zylinder1 and OT-pump
DWPEDKOB;Gradient of the standardized accelerator pedal for the compressor
DWPEDKOCL;Gradient of pedal angle f. compress. sw.off at DK closure
DWPKUPNMX;Upper bound of dwped for setting of B_kupplc
DWPKUPX;Maximum allowed dwped for setting of B_kupplc
DWPMXNB;Max. permissible pedal value increase per computation step after operating brake
DWPMXNOT;Max. permissible increase in pedal travel per calc. step in PWG standby mode
DWPOPBP;Pedal gradient for deactivation of APS/Brake-Check
DWPPBP;Decrease of pedal value per calculation step during after operating brake
DWPRHOM;Delta prediction angle for homogen mode
DWPRSCH;Delta prediction angle
DWSHSPKH;Switch off delay for minimum heat flux for hom.split injection for cat
DWUC;OBD II. Fulfilment condition 'warm up cycle'
DWVSTMSVAP;Calibration value feed forward control MSV
DWVSTMSVST;Start value feed forward control MSV
DYADMX;Max. value of dynamic response derivation
DYADS;Add. retarding per cycle through adapt. dynamics
DYAFVS;Advance step for deactivation of dynamic response
DYAMNV;Min. value of dynamic response derivation
DYAVF;Deactivation period for dynamics retardation
DYNLSUFA;Limiting value for LSU dynamics at funktion request
DYNLSUKAMN;LSU dynamic threshold for switching from lamsoni_w to lamsons_w
DYNLSULAU;Threshold for dynlsu_w for switching to lambda setpoint for lambdamodelling
DYNLSUMX;Limiting value for LSU dynamics
DYNLSURD;Rduced limiting value for LSU dynamics
DYNLSUSMN;Threshold for diagnosis LSU-signal gradient too low
DYNLSUTO;Upper threshold for dynlsusa, CARB tester, DLSSALRS
DYNLSUUPL;Threshold for dynlsu_w
DYNMXNL;Threshold value for the engine dynamic -> high dynamic
DYTRGAMX;Min high change of transient time to activate step change filter of oxygen sen
DZLRSAMN;Minimum of modification of zlrs_w by dzlsu_w
DZLRSAMX;Maximum of modification of zlrs_w by dzlsu_w
DZLSUINIS;Reset value delta of LSU time constant with respect to nominal value, (1ms)
DZSPIE;Length SPI error detection debouncing
DZSPIH;Length SPI error healing debouncing
DZUEET;Diag. End stage driver
DZUPHL;Count limit for buffer counter healing
DZUPKSMS;Count limit for buffer counter short circuit with mass
DZUPKSUB;Count limit for buffer counter short circuit with battery voltage
DZUPSIG;Count limit for buffer counter open circuit
DZWAML;Up/down regulation speed between the maps of limitation
DZWETA;Delta ignition angle from efficiency
DZWETAH;Delta ignition angle from efficiency, homogeneous split injection
DZWOLA;Lambda dependency of optimum ignition angle referred to Lambda 1
DZWOM;Temperature-dependent offset of optimum ignition angle
DZWOMHSP;Temperature-dependent offset of optimum ignition angle for HSP
DZWSTTA;Delta ignition angle during start (VVT)
DZWZWMNMS;Offset for comparison between zwist and zwmnms concerning engine protection cond
DZZST;Number of teeth when tooth suppression during start
EAVKG;Exothermic increase of temp. in the first part of the monolith (borderline cat.)
EAVKGH;Exothermic increase of temp. in the first part of the monolith (borderline cat.)
EAVKH;Exothermic increase of temperature in the first part of the monolith, homog.
EAVKS;Exothermic increase of temperature in the first part of the monolith
EBEN;Bypass main switch
EBMISS_T;If more messages are missing, the bypass communication is switched off
EBMISS_Y;If more messages are missing, the bypass communication is switched off
EBTIM1;Maximum time for DV-E setpoint-reaching at ice check
EBVKG;Exothermic increase of temp. in the second part of the monolith (borderline cat)
EBVKGH;Exothermic increase of temp. in the second part of the monolith (borderline cat)
EBVKH;Exothermic increase of temperature in the second part of the monolith, hom
EBVKS;Exothermic increase of temperature in the second part of the monolith
EISERR;No.of spring test cycles until error entry occurs in event throttle valve icing
EISOFF;Throttle valve offset for detection of dkv_eis
EISOFF1;Offset 1 for breakaway function in the event of throttle valve icing.
EISOFF1_T;Cont. input duration Offset 1 of breakaway funct. in event throttle valve icing
EISOFF2;Offset 2 for breakaway function in the event of throttle valve icing.
EISOFF2_T;Cont. input duration Offset 2 of breakaway funct. in event throttle valve icing
EISOFFAE;Threshold for function abort in the event that icing is removed successfully
EISRAMPE;Ramp gradient of abort ramp of breakaway funct. in event of throttle valve icing
EISVB3_T;Lock time for repeated activation of the icing function B_eis
EISVB_T;Lock time for repeated act. of breakaway funct. in event of throttle valve icing
EISZYK_Z;Max.num. cycles per each act.for throttle valve offset cont.of breakaway funct.
EMOPIDL;Demand idle speed when EMOP is activ
EMOPLAM;Lambda enrichment if EMOP is activ
EMOPZW;Ignition advance limitation if EMOP is activ
ENRSTP;Delta step for ramp up enrichment factor emopenr
ENSAD;Number of exceeding e. roughness th. for activation afterstart adaption
ENSAKHG;Enabling fuel cut off dependent on gear during catalyst heating
ENTDKLL;De-jitter threshold (inc.) for throttle-value target value during idling (B_II)
ENTDKNLL;De-jitter thresh. (inc.) for throttle-value target value outside idling (!B_II)
EONVDKMN;Min distance at a configurable speed to enable the EONV diag.
EONVEFC;Coefficient used for 0.020 EWMA calculation when in the failing state
EONVEFS;Start value for EWMA filter
EONVEFT;Threshold value to set out the MIL it is exceeded by EWMA filter result
EONVENFC;Filter coefficient used for 0.020 EWMA calc. when currently in passing state
EONVENFT;The EWMA threshold value that will be used when the system is passing
EONVETSP;Num EWMA test samples required before diagnostic report a pass
EONVFST;Default fuel level for EONV when no external system is present
EONVSRS;Necessary result of overpressure phase after detecting a pressure peak to finish
EONVSTFT;Threshold value to set the MIL once it is exceeded by EWMA
ERWFPRTIM1;Time offset for return spring check in step 1 at low temperatures
ERWFPRTIM2;Time offset for return spring check in step 2 at low temperatures
ESDLUTS;Number of synchros for calculation of standard dev. of engine roughness
ESGRU;Basic injection
ESNST;Injection after start
ESNSWL;Injection during afterstart & warm-up
ESSTT;Injection duration at start
ESUK;Injection. transient compensation
ESUKAS;Adaptation of the transitional compensation (with constant lambda control)
ESUVRCLRO;Offset on ESUVRSET for healing the dump valve error
ESUVRSET;Threshold to set the dump valve error
ESVW;Injection. calculation of injection angle
ESWE;Injection. resumption of overrun fuel cut-off
ESWL;Injection Warm-up
ETADZW;Ignition efficiency depending on delta ignition angle
ETADZWH;Ignition efficiency depending on delta ignition angle, hom.-split injection
ETAFAWUHOM;Minimum spark efficiency for operation mode high overlap
ETALAM;Lambda effectiveness
ETAREDSAB;Efficiency threshold for transition into complete fuel cut-off
EVTMODMNDK;Min. temperature of offset-addition to DK-map (if nmot=0)
EVTMODOK;Offset for evtmod depending on filtered engine temperature
EXPTOL;Exponential of Soak Time and Engine Oil Thermal Time Constant
EXPTRATEMP;Eponential factor for transmition oil temperature model if engine is off
F5SAMP;Factor for calculation of mean value if segment length < 5
F10SAMP;Factor for calculation of mean value if segment length < 10
FABKORUM;Multiplicative correction factor to Injected Fuel mass (Mode change HSP-HOM)
FABMDWA;Factor to decrease the converter torque depending of nturb
FABSTT;Factor parking time for model temperature
FAINTEN;Number of interval for enabling ti - cutoff
FAKUBLSH;High threshold for recognition of S_bls
FAKUBLSL;Low threshold for recognition of S_bls
FAKUBOLMN;Factor brake switch voltage, detection of cable interruption, min. threshold
FAKUBOLMX;Factor brake switch voltage, detection of cable interruption, max. threshold
FANFKHLLTM;Correction of heat request by engine start temp. for cat. heating at start(idle)
